ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product_category,Length_cm,Width_cm,Height_cm,Fragile,Liquid_Leak_Prone,Perishable,Shipping_distance,Stacking_pressure,Delivery_urgency,Budget_level,Eco_preference,Material_constraint,Return_risk,recommended_packaging
12,F,Flight,4,5,232,3,medium,F,32,3253,1,electronics,40,49,16,0,1,1,domestic,0,express,low,low_cost,compostable_only,0,Leak-proof Compostable Container
13,D,Flight,3,5,198,3,medium,F,1,3667,1,books,32,23,39,0,1,1,local,1,standard,medium,balanced,only_recyclable,0,Leak-proof Compostable Container
14,F,Flight,4,4,275,3,high,M,29,2602,1,glass_items,40,35,10,0,0,0,international,0,express,high,low_cost,only_recyclable,0,100% Recyclable Cardboard Box
15,A,Flight,4,3,152,3,low,M,43,1009,1,clothing,52,32,25,0,1,1,local,1,express,low,max_sustainability,no_restrictions,0,Leak-proof Compostable Container
16,B,Flight,4,3,227,3,low,F,45,2707,1,clothing,43,31,39,1,0,1,local,1,express,low,low_cost,only_recyclable,1,Insulated Compostable Food Pack
17,C,Flight,3,4,143,2,medium,F,6,1194,1,electronics,25,43,38,1,0,0,domestic,0,standard,low,balanced,compostable_only,1,Compostable Paper Wrap Pack
18,F,Ship,5,5,227,3,medium,M,36,3952,1,glass_items,34,21,35,0,0,0,domestic,1,standard,medium,balanced,no_plastic,0,Corrugated Box + Molded Pulp
19,D,Ship,5,5,239,3,high,M,18,2495,1,glass_items,12,41,2,0,1,1,local,1,standard,low,low_cost,no_plastic,0,Leak-proof Compostable Container
20,F,Ship,4,5,145,3,medium,M,45,1059,1,glass_items,58,28,8,1,0,1,international,1,express,low,low_cost,no_plastic,0,Insulated Compostable Food Pack
21,A,Ship,3,3,161,2,medium,F,38,1521,1,clothing,55,26,4,1,0,0,domestic,1,express,high,low_cost,compostable_only,0,Compostable Paper Wrap Pack
22,B,Ship,3,1,232,4,medium,F,51,2899,1,books,57,18,17,0,1,0,international,0,express,medium,low_cost,no_plastic,0,Leak-proof Compostable Container
23,C,Ship,2,5,156,2,low,M,2,1750,1,books,12,13,15,0,0,1,international,1,standard,low,max_sustainability,no_restrictions,1,Insulated Compostable Food Pack
24,F,Ship,4,3,211,3,high,M,12,3922,1,cosmetics,58,47,11,1,1,1,international,0,standard,low,max_sustainability,no_restrictions,1,Leak-proof Compostable Container
25,D,Ship,4,5,251,2,medium,F,28,3561,1,glass_items,30,39,37,0,1,1,domestic,1,standard,low,balanced,only_recyclable,1,Leak-proof Compostable Container
26,F,Ship,3,1,225,4,low,M,29,3496,1,electronics,43,21,30,0,0,1,local,0,standard,high,max_sustainability,no_plastic,1,Insulated Compostable Food Pack
27,A,Ship,4,1,172,3,high,F,24,1066,1,food,23,48,16,1,0,0,domestic,1,standard,low,balanced,compostable_only,1,Compostable Paper Wrap Pack
28,B,Ship,5,1,162,3,medium,M,31,1435,1,food,15,13,26,0,0,1,domestic,1,express,low,balanced,no_restrictions,1,Insulated Compostable Food Pack
29,C,Ship,2,3,234,4,low,M,44,3134,1,clothing,44,5,9,1,0,1,local,1,standard,low,balanced,only_recyclable,1,Insulated Compostable Food Pack
30,F,Ship,5,4,183,2,low,F,36,3819,1,glass_items,28,46,11,0,0,0,international,1,express,medium,max_sustainability,only_recyclable,0,Molded Pulp Tray + Corrugated Box
31,D,Ship,3,4,266,2,medium,F,38,2741,1,glass_items,30,46,34,1,1,0,local,0,express,low,max_sustainability,only_recyclable,1,Leak-proof Compostable Container
32,F,Ship,5,3,257,2,low,F,61,3341,1,electronics,47,42,10,0,0,1,international,0,standard,high,low_cost,only_recyclable,0,Insulated Compostable Food Pack
33,A,Ship,3,1,223,3,low,F,22,3795,1,books,56,30,6,0,1,0,domestic,0,express,low,low_cost,compostable_only,1,Leak-proof Compostable Container
34,B,Ship,4,2,234,3,medium,M,4,3261,1,books,43,26,33,0,1,1,domestic,0,express,high,max_sustainability,compostable_only,1,Leak-proof Compostable Container
35,C,Ship,4,2,227,4,medium,F,22,2460,1,clothing,41,45,31,1,0,0,local,1,express,low,max_sustainability,only_recyclable,1,Recycled Cardboard Box
36,F,Ship,5,4,149,3,medium,F,44,1811,1,clothing,7,48,19,0,1,1,international,1,express,low,max_sustainability,no_restrictions,0,Leak-proof Compostable Container
37,D,Ship,3,5,137,4,high,F,62,1477,1,glass_items,13,16,5,1,1,1,domestic,0,express,medium,low_cost,no_restrictions,1,Leak-proof Compostable Container
38,F,Ship,2,4,181,6,medium,F,16,3605,1,cosmetics,57,27,36,0,0,0,local,1,standard,high,max_sustainability,compostable_only,0,Molded Pulp Tray + Corrugated Box
39,A,Ship,5,1,215,4,low,F,56,3905,1,clothing,55,27,25,0,0,0,international,1,express,high,low_cost,no_plastic,1,Corrugated Box + Molded Pulp
40,B,Ship,4,2,269,5,low,F,45,2383,1,clothing,54,23,20,1,0,0,local,0,express,low,max_sustainability,no_plastic,0,Molded Pulp Tray + Corrugated Box
41,C,Ship,5,1,227,2,low,M,15,3798,1,electronics,32,25,31,1,1,0,local,1,standard,medium,low_cost,only_recyclable,1,Leak-proof Compostable Container
42,F,Ship,5,5,139,4,medium,M,61,1265,1,electronics,58,9,10,0,1,0,domestic,1,standard,medium,max_sustainability,no_plastic,0,Leak-proof Compostable Container
43,D,Ship,3,5,137,2,medium,M,38,1647,1,books,8,10,11,0,1,1,international,1,express,high,max_sustainability,only_recyclable,0,Leak-proof Compostable Container
44,F,Ship,3,1,174,2,low,M,44,1556,1,books,49,33,17,1,0,1,domestic,1,standard,medium,balanced,no_restrictions,0,Insulated Compostable Food Pack
45,A,Ship,3,1,151,2,low,M,29,1328,1,glass_items,24,42,29,1,1,0,local,1,standard,high,max_sustainability,compostable_only,1,Leak-proof Compostable Container
46,B,Ship,5,1,210,3,low,F,9,2944,1,books,59,7,8,0,1,0,domestic,0,express,low,balanced,compostable_only,0,Leak-proof Compostable Container
47,C,Ship,3,4,169,4,medium,F,32,1245,1,electronics,29,28,37,1,1,1,local,1,express,medium,low_cost,compostable_only,0,Leak-proof Compostable Container
48,F,Ship,5,1,160,2,low,M,32,1576,1,books,46,25,13,1,1,1,local,0,standard,low,balanced,no_plastic,1,Leak-proof Compostable Container
49,D,Ship,5,4,190,2,medium,M,9,3753,1,books,18,19,9,1,1,1,domestic,0,express,high,low_cost,compostable_only,1,Leak-proof Compostable Container
50,F,Ship,5,3,216,3,low,F,40,2146,1,electronics,9,30,34,1,0,1,international,1,standard,high,balanced,no_restrictions,0,Insulated Compostable Food Pack
51,A,Ship,4,1,183,3,low,M,37,2042,1,clothing,46,22,29,1,1,0,domestic,1,standard,high,low_cost,no_plastic,0,Leak-proof Compostable Container
52,B,Ship,4,4,141,3,low,M,22,1735,1,books,26,25,13,1,1,1,international,1,express,medium,balanced,no_plastic,1,Leak-proof Compostable Container
53,C,Ship,4,3,165,3,low,F,44,1320,1,electronics,42,31,9,1,1,1,local,1,standard,high,low_cost,no_plastic,0,Leak-proof Compostable Container
54,F,Ship,2,1,170,3,low,M,41,1128,1,food,35,12,14,1,1,0,domestic,0,express,medium,max_sustainability,only_recyclable,0,Leak-proof Compostable Container
55,D,Ship,4,3,203,3,high,M,12,3539,1,electronics,41,46,21,0,0,0,international,1,standard,high,balanced,only_recyclable,1,100% Recyclable Cardboard Box
56,F,Ship,2,5,246,5,low,M,46,2437,1,cosmetics,24,47,37,0,0,1,local,1,express,low,low_cost,compostable_only,1,Insulated Compostable Food Pack
57,A,Ship,3,3,238,3,low,F,61,3096,1,electronics,36,16,15,0,0,1,international,1,standard,high,max_sustainability,no_restrictions,0,Insulated Compostable Food Pack
58,B,Ship,3,3,193,3,medium,F,29,3453,1,books,51,21,33,0,1,0,local,1,express,medium,max_sustainability,only_recyclable,1,Leak-proof Compostable Container
59,C,Ship,5,5,141,3,high,M,41,1367,1,electronics,50,13,10,0,0,1,international,0,standard,high,low_cost,only_recyclable,0,Insulated Compostable Food Pack
60,F,Ship,4,1,150,3,high,F,17,1923,1,cosmetics,12,41,27,0,1,1,local,1,standard,medium,max_sustainability,compostable_only,1,Leak-proof Compostable Container
61,D,Ship,3,1,221,3,low,F,64,2794,1,clothing,37,24,11,0,1,0,domestic,0,standard,high,balanced,no_restrictions,1,Leak-proof Compostable Container
62,F,Ship,3,3,179,3,medium,M,52,1158,1,glass_items,53,32,14,0,0,1,local,0,standard,low,max_sustainability,compostable_only,0,Insulated Compostable Food Pack
63,A,Ship,5,1,105,6,medium,M,62,1292,1,food,30,35,24,0,1,0,international,0,express,low,balanced,only_recyclable,1,Leak-proof Compostable Container
64,B,Ship,3,1,177,3,medium,M,61,1880,1,books,41,12,3,0,1,0,local,1,standard,medium,balanced,no_plastic,1,Leak-proof Compostable Container
65,C,Ship,4,5,261,2,high,M,49,3045,1,cosmetics,19,40,15,1,0,0,domestic,0,standard,high,low_cost,only_recyclable,0,100% Recyclable Cardboard Box
66,F,Ship,3,2,202,3,low,M,49,2881,1,electronics,53,9,5,0,0,0,international,1,standard,low,max_sustainability,no_restrictions,1,Recycled Cardboard Box
67,D,Ship,3,2,109,3,medium,F,15,1710,1,food,55,36,32,1,0,0,international,0,standard,medium,max_sustainability,compostable_only,0,Molded Pulp Tray + Corrugated Box
68,F,Ship,3,3,158,3,low,F,6,1878,1,electronics,56,41,24,0,0,1,international,0,express,medium,balanced,no_plastic,1,Insulated Compostable Food Pack
69,A,Ship,4,2,231,4,medium,F,6,2512,1,glass_items,17,46,6,0,0,0,domestic,0,express,medium,balanced,compostable_only,1,Compostable Paper Wrap Pack
70,B,Ship,3,5,206,3,medium,M,39,2929,1,food,20,38,23,0,0,0,international,0,standard,medium,balanced,no_plastic,0,Corrugated Box + Paper Cushion
71,C,Ship,5,1,187,4,high,M,14,3849,1,cosmetics,44,32,8,0,0,1,international,0,standard,high,max_sustainability,only_recyclable,1,Insulated Compostable Food Pack
72,F,Ship,5,5,230,2,low,F,2,2229,1,food,9,7,21,1,0,0,international,1,express,low,balanced,compostable_only,0,Molded Pulp Tray + Corrugated Box
73,D,Ship,5,5,232,3,medium,F,33,2998,1,glass_items,23,16,34,0,0,1,local,1,standard,high,balanced,no_restrictions,1,Insulated Compostable Food Pack
74,F,Ship,4,5,215,3,medium,F,21,3984,1,clothing,7,32,32,0,1,0,local,0,standard,low,low_cost,no_restrictions,0,Leak-proof Compostable Container
75,A,Ship,6,1,238,6,low,F,13,2442,1,cosmetics,21,37,31,1,0,1,local,1,standard,low,low_cost,no_plastic,1,Insulated Compostable Food Pack
76,B,Ship,4,1,266,3,low,F,23,3775,1,electronics,47,35,39,1,1,0,domestic,1,standard,medium,max_sustainability,no_restrictions,1,Leak-proof Compostable Container
77,C,Ship,2,3,158,2,medium,F,36,1788,1,electronics,33,38,29,1,1,1,international,1,standard,high,low_cost,no_restrictions,0,Leak-proof Compostable Container
78,F,Ship,3,3,113,3,low,F,43,1518,1,clothing,5,14,25,0,1,1,domestic,1,express,medium,balanced,compostable_only,1,Leak-proof Compostable Container
79,D,Ship,3,4,223,3,low,M,18,3959,1,food,54,18,12,1,0,0,local,1,standard,medium,low_cost,no_plastic,1,Corrugated Box + Molded Pulp
80,F,Ship,3,5,257,2,medium,F,56,3711,1,electronics,45,31,3,1,0,0,local,1,standard,medium,max_sustainability,no_plastic,1,Molded Pulp Tray + Corrugated Box
81,A,Ship,3,4,180,2,medium,F,49,1942,1,books,13,32,15,0,1,1,international,0,standard,medium,max_sustainability,no_plastic,1,Leak-proof Compostable Container
82,B,Ship,2,5,132,3,low,M,18,1759,1,food,59,32,20,0,0,1,international,0,standard,medium,low_cost,no_plastic,1,Insulated Compostable Food Pack
83,C,Ship,4,4,217,3,high,F,26,2875,1,food,15,13,12,0,1,1,local,0,standard,medium,max_sustainability,compostable_only,0,Leak-proof Compostable Container
84,F,Ship,5,5,162,3,high,F,31,1364,1,glass_items,16,46,5,0,1,0,local,1,standard,high,balanced,no_plastic,0,Leak-proof Compostable Container
85,D,Ship,4,5,197,2,medium,F,40,2710,1,books,50,24,36,0,1,1,international,1,standard,high,balanced,only_recyclable,1,Leak-proof Compostable Container
86,F,Ship,3,4,197,3,medium,M,13,2148,1,electronics,51,28,31,0,0,0,local,0,standard,medium,low_cost,no_restrictions,0,Corrugated Box + Paper Cushion
87,A,Ship,4,1,185,2,low,M,44,2910,1,electronics,47,8,31,0,1,0,domestic,1,express,low,low_cost,only_recyclable,1,Leak-proof Compostable Container
88,B,Ship,6,2,278,3,medium,F,3,2974,1,cosmetics,29,31,32,0,0,0,local,0,express,medium,max_sustainability,only_recyclable,1,Molded Pulp Tray + Corrugated Box
89,C,Ship,3,3,229,3,low,M,49,2339,1,electronics,59,16,28,1,1,0,domestic,1,express,low,balanced,compostable_only,1,Leak-proof Compostable Container
90,F,Ship,4,1,186,4,medium,F,57,3880,1,food,50,15,20,1,0,0,international,1,standard,low,max_sustainability,only_recyclable,1,Molded Pulp Tray + Corrugated Box
91,D,Ship,5,3,174,6,high,F,41,1085,1,clothing,9,38,34,1,0,1,local,0,express,high,balanced,no_restrictions,0,Insulated Compostable Food Pack
92,F,Ship,5,5,286,3,low,F,18,3163,1,electronics,52,20,36,1,0,1,international,0,standard,medium,max_sustainability,compostable_only,0,Insulated Compostable Food Pack
93,A,Ship,4,4,175,2,medium,F,7,1188,1,cosmetics,26,15,34,0,1,0,international,0,standard,low,balanced,only_recyclable,0,Leak-proof Compostable Container
94,B,Ship,3,3,219,3,medium,F,17,3387,1,clothing,34,35,13,1,1,0,local,0,express,high,low_cost,no_plastic,0,Leak-proof Compostable Container
95,C,Ship,4,1,213,4,high,F,35,2343,1,food,59,40,24,1,0,1,domestic,1,standard,medium,max_sustainability,only_recyclable,1,Insulated Compostable Food Pack
96,F,Ship,2,3,235,3,low,M,57,2034,1,cosmetics,14,42,33,1,1,0,local,1,express,low,low_cost,no_plastic,0,Leak-proof Compostable Container
97,D,Ship,3,3,149,2,medium,M,18,1225,1,books,58,45,14,0,0,0,domestic,0,express,low,low_cost,no_plastic,1,Recycled Cardboard Box
98,F,Ship,4,1,271,2,medium,F,8,2401,1,glass_items,6,28,18,0,1,0,domestic,1,standard,high,balanced,no_plastic,0,Leak-proof Compostable Container
99,A,Ship,3,5,144,4,medium,M,5,1104,1,books,59,33,25,1,0,1,local,1,standard,high,balanced,no_plastic,1,Insulated Compostable Food Pack
100,B,Ship,4,2,145,2,medium,M,21,1617,1,electronics,10,41,14,0,1,0,international,1,express,low,max_sustainability,no_restrictions,0,Leak-proof Compostable Container
101,C,Ship,5,3,143,2,medium,M,59,1837,1,cosmetics,31,27,21,0,0,0,international,1,standard,medium,max_sustainability,no_plastic,0,Recycled Cardboard Box
102,F,Ship,5,5,227,4,low,M,53,2624,1,glass_items,46,21,24,1,1,1,international,1,express,medium,max_sustainability,no_restrictions,1,Leak-proof Compostable Container
103,D,Ship,2,1,213,3,low,M,29,2732,1,glass_items,33,45,39,1,1,1,local,0,express,low,max_sustainability,no_plastic,0,Leak-proof Compostable Container
104,F,Ship,5,1,144,4,low,M,37,1658,1,clothing,22,6,16,0,0,0,domestic,1,express,low,max_sustainability,only_recyclable,1,Recycled Cardboard Box
105,A,Ship,3,3,218,3,low,M,3,2255,1,cosmetics,27,48,33,1,1,1,local,0,standard,high,max_sustainability,no_plastic,1,Leak-proof Compostable Container
106,B,Ship,4,2,144,3,medium,M,59,1588,1,clothing,47,37,9,1,1,0,international,0,standard,medium,max_sustainability,only_recyclable,0,Leak-proof Compostable Container
107,C,Ship,3,1,238,3,low,M,17,2624,1,glass_items,11,6,16,1,0,0,domestic,1,standard,medium,balanced,no_restrictions,0,Corrugated Box + Paper Cushion
108,F,Ship,4,5,216,3,high,M,26,2053,1,food,36,19,5,1,1,1,local,0,standard,medium,max_sustainability,compostable_only,0,Leak-proof Compostable Container
109,D,Ship,4,5,238,3,high,F,55,3257,1,glass_items,45,22,24,1,0,1,domestic,1,standard,medium,max_sustainability,no_plastic,0,Insulated Compostable Food Pack
110,F,Ship,4,1,141,3,medium,M,47,1250,1,clothing,37,33,6,1,1,0,domestic,0,express,high,max_sustainability,no_plastic,0,Leak-proof Compostable Container
111,A,Road,3,1,158,2,low,M,2,1284,1,food,27,29,14,0,1,0,domestic,0,express,high,low_cost,compostable_only,0,Leak-proof Compostable Container
112,B,Road,4,2,239,3,low,F,65,3679,1,food,39,46,15,1,0,1,local,1,express,low,max_sustainability,no_restrictions,0,Insulated Compostable Food Pack
113,C,Road,4,3,175,2,low,M,25,1816,1,books,22,14,24,1,1,1,international,1,standard,high,balanced,compostable_only,1,Leak-proof Compostable Container
114,F,Road,3,2,263,3,low,M,41,2817,1,food,25,13,38,1,1,1,domestic,0,express,high,max_sustainability,only_recyclable,0,Leak-proof Compostable Container
115,D,Road,3,5,168,2,high,M,50,1616,1,electronics,40,21,38,0,0,0,international,0,express,high,balanced,no_plastic,0,Molded Pulp Tray + Corrugated Box
116,F,Road,3,4,176,3,high,M,36,1779,1,food,55,15,7,1,0,1,local,1,standard,medium,low_cost,no_plastic,1,Insulated Compostable Food Pack
117,A,Road,4,1,150,4,high,M,60,1024,1,books,54,35,16,0,0,0,international,0,standard,low,max_sustainability,only_recyclable,0,Molded Pulp Tray + Corrugated Box
118,B,Road,4,3,265,2,medium,F,31,2326,1,glass_items,39,19,23,0,0,1,local,0,standard,high,max_sustainability,no_restrictions,1,Insulated Compostable Food Pack
119,C,Road,2,5,263,3,low,F,5,2947,1,clothing,45,10,20,1,0,1,domestic,0,standard,low,low_cost,no_restrictions,1,Insulated Compostable Food Pack
120,F,Road,5,1,145,3,low,M,20,1387,1,books,39,38,20,0,0,1,international,0,standard,low,balanced,only_recyclable,1,Insulated Compostable Food Pack
121,D,Road,4,2,183,3,low,F,33,2741,1,glass_items,55,9,3,1,1,0,international,0,express,high,low_cost,compostable_only,1,Leak-proof Compostable Container
122,F,Road,3,3,205,3,medium,F,19,2167,1,electronics,17,26,22,1,1,1,international,0,standard,low,max_sustainability,only_recyclable,1,Leak-proof Compostable Container
123,A,Road,4,2,160,3,low,M,64,1714,1,clothing,57,12,11,0,1,1,international,0,express,low,balanced,no_restrictions,1,Leak-proof Compostable Container
124,B,Road,3,3,252,2,medium,F,48,2102,1,electronics,51,43,35,1,0,1,local,0,express,high,max_sustainability,no_plastic,1,Insulated Compostable Food Pack
125,C,Road,5,5,222,3,low,M,10,2280,1,glass_items,29,36,25,0,0,0,international,1,standard,medium,max_sustainability,only_recyclable,1,Recycled Cardboard Box
126,F,Road,3,3,203,2,low,M,25,3607,1,glass_items,46,32,7,1,1,0,local,0,standard,high,balanced,no_plastic,1,Leak-proof Compostable Container
127,D,Road,4,5,220,3,medium,M,40,3516,1,clothing,48,5,39,1,1,1,local,1,standard,low,balanced,no_restrictions,0,Leak-proof Compostable Container
128,F,Road,3,3,147,4,low,F,60,1722,1,clothing,27,31,36,0,1,1,international,0,express,high,max_sustainability,no_plastic,1,Leak-proof Compostable Container
129,A,Road,4,4,200,4,medium,M,16,2060,1,books,24,7,21,0,1,0,international,1,express,low,balanced,no_restrictions,1,Leak-proof Compostable Container
130,B,Road,4,5,224,4,medium,M,21,2026,1,food,5,39,38,0,1,0,local,1,standard,medium,low_cost,compostable_only,0,Leak-proof Compostable Container
131,C,Road,3,5,179,2,low,F,17,1364,1,clothing,37,35,7,0,1,1,local,1,express,medium,max_sustainability,no_plastic,1,Leak-proof Compostable Container
132,F,Road,3,4,144,3,low,M,50,1865,1,glass_items,46,36,4,1,0,0,domestic,1,standard,high,max_sustainability,no_plastic,1,Recycled Cardboard Box
133,D,Flight,5,2,247,3,low,M,17,3889,1,electronics,50,29,33,0,1,1,international,0,standard,high,low_cost,no_restrictions,1,Leak-proof Compostable Container
134,F,Flight,5,4,280,6,medium,F,51,3582,1,electronics,21,14,2,1,1,0,international,0,standard,low,max_sustainability,compostable_only,0,Leak-proof Compostable Container
135,A,Flight,3,3,168,2,medium,F,1,1829,1,books,9,24,4,1,1,1,domestic,1,express,medium,balanced,no_restrictions,0,Leak-proof Compostable Container
136,B,Flight,3,5,157,3,medium,F,4,1889,1,clothing,40,16,17,1,0,1,international,1,standard,medium,max_sustainability,only_recyclable,0,Insulated Compostable Food Pack
137,C,Flight,3,3,189,4,medium,F,51,2208,1,books,45,32,4,0,1,0,domestic,0,express,low,low_cost,no_plastic,0,Leak-proof Compostable Container
138,F,Flight,3,5,162,2,medium,M,7,1739,1,food,52,42,20,1,0,0,local,0,express,medium,low_cost,only_recyclable,1,100% Recyclable Cardboard Box
139,D,Flight,4,1,207,5,low,M,48,2399,1,electronics,48,16,17,0,0,0,international,0,standard,medium,max_sustainability,no_plastic,0,Recycled Cardboard Box
140,F,Flight,5,1,237,2,low,F,10,3860,1,electronics,38,10,30,1,0,0,international,0,standard,high,balanced,compostable_only,1,Molded Pulp Tray + Corrugated Box
141,A,Flight,4,4,264,3,high,M,59,2020,1,glass_items,32,7,12,0,1,0,international,0,standard,low,low_cost,no_restrictions,1,Leak-proof Compostable Container
142,B,Flight,5,4,149,3,low,M,51,1645,1,cosmetics,39,12,30,1,1,1,domestic,1,standard,medium,balanced,only_recyclable,0,Leak-proof Compostable Container
143,C,Flight,5,5,162,3,low,M,41,1462,1,clothing,59,23,8,1,1,0,international,1,express,medium,low_cost,no_plastic,0,Leak-proof Compostable Container
144,F,Flight,2,1,205,4,medium,F,63,2156,1,books,54,15,17,1,0,0,domestic,1,express,high,low_cost,no_restrictions,1,Molded Pulp Tray + Corrugated Box
145,D,Flight,2,1,158,3,medium,F,51,1540,1,clothing,50,48,2,0,1,1,international,1,standard,medium,balanced,no_restrictions,1,Leak-proof Compostable Container
146,F,Flight,2,2,248,2,low,M,46,3707,1,glass_items,30,18,23,1,0,0,domestic,1,express,high,low_cost,no_plastic,0,Corrugated Box + Molded Pulp
147,A,Flight,3,5,191,3,low,M,23,3750,1,books,27,13,5,0,0,1,domestic,0,express,medium,max_sustainability,compostable_only,1,Insulated Compostable Food Pack
148,B,Flight,4,3,146,4,medium,F,24,1844,1,clothing,15,18,32,1,0,0,domestic,1,standard,medium,balanced,no_plastic,0,Corrugated Box + Paper Cushion
149,C,Flight,3,3,135,3,low,M,56,1490,1,food,57,7,30,1,0,1,domestic,0,express,medium,low_cost,no_plastic,1,Insulated Compostable Food Pack
150,F,Flight,5,1,149,3,low,M,40,1062,1,books,19,16,12,1,0,0,international,0,standard,medium,max_sustainability,only_recyclable,1,Molded Pulp Tray + Corrugated Box
151,D,Flight,4,4,220,2,medium,F,7,2551,1,books,27,21,17,1,1,0,local,1,standard,low,low_cost,compostable_only,1,Leak-proof Compostable Container
152,F,Flight,5,3,98,5,medium,M,44,1269,1,cosmetics,52,8,4,1,1,1,domestic,0,express,medium,max_sustainability,no_restrictions,0,Leak-proof Compostable Container
153,A,Flight,3,4,97,4,low,M,32,1238,1,cosmetics,16,6,3,0,0,0,international,0,standard,low,max_sustainability,only_recyclable,0,Recycled Cardboard Box
154,B,Flight,3,3,183,2,low,M,53,3932,1,clothing,37,46,10,1,0,1,local,0,standard,medium,low_cost,no_plastic,0,Insulated Compostable Food Pack
155,C,Ship,3,3,162,3,medium,F,8,1869,1,books,35,12,10,1,1,1,domestic,1,express,high,balanced,no_restrictions,0,Leak-proof Compostable Container
156,F,Ship,5,1,114,4,low,F,47,1443,1,food,35,14,11,0,0,0,local,1,standard,low,low_cost,no_plastic,0,Recycled Cardboard Box
157,D,Ship,6,3,275,5,low,M,41,2491,1,books,51,16,5,1,0,0,domestic,0,standard,medium,low_cost,no_restrictions,0,Molded Pulp Tray + Corrugated Box
158,F,Ship,3,2,203,2,medium,F,39,3845,1,glass_items,26,34,34,0,1,0,international,0,standard,low,max_sustainability,only_recyclable,0,Leak-proof Compostable Container
159,A,Ship,5,5,205,2,high,M,65,3671,1,clothing,49,10,23,0,0,0,domestic,0,express,high,max_sustainability,no_restrictions,0,Molded Pulp Tray + Corrugated Box
160,B,Ship,3,3,149,3,low,F,63,1946,1,clothing,35,45,31,0,0,1,local,1,standard,high,low_cost,no_restrictions,1,Insulated Compostable Food Pack
161,C,Ship,2,2,112,4,medium,M,56,1138,1,cosmetics,8,22,38,1,1,0,international,1,standard,low,max_sustainability,no_plastic,1,Leak-proof Compostable Container
162,F,Ship,3,1,207,3,medium,F,56,3482,1,glass_items,37,22,26,0,1,0,international,0,standard,low,low_cost,only_recyclable,1,Leak-proof Compostable Container
163,D,Ship,4,1,261,4,low,F,58,3427,1,clothing,39,40,30,1,0,1,international,1,express,high,max_sustainability,only_recyclable,1,Insulated Compostable Food Pack
164,F,Ship,5,2,274,3,medium,M,6,3375,1,glass_items,9,15,29,0,1,1,local,0,express,medium,max_sustainability,no_plastic,1,Leak-proof Compostable Container
165,A,Ship,3,5,141,2,low,M,52,1692,1,food,23,28,36,0,1,1,local,1,express,high,balanced,compostable_only,0,Leak-proof Compostable Container
166,B,Ship,3,3,166,4,medium,F,17,1498,1,electronics,12,36,37,0,0,1,local,0,express,low,max_sustainability,no_restrictions,0,Insulated Compostable Food Pack
167,C,Ship,5,2,141,3,high,F,34,1020,1,glass_items,29,31,38,0,0,0,international,0,express,low,low_cost,no_restrictions,1,Recycled Cardboard Box
168,F,Ship,4,5,152,3,low,M,43,1709,1,cosmetics,55,24,31,1,1,1,international,1,standard,high,max_sustainability,no_restrictions,0,Leak-proof Compostable Container
